GCCSA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
4GADE,0,0,0,19,27,63,246,189,69,615,0,3,14,54,19,24,7,6,3,139,0,56,194,529,130,53,30,18,9,1010,16,202,772,2360,52,45,9,0,0,3460,3,15,38,166,143,267,863,556,258,2316,37,252,392,1384,966,963,711,291,86,5082,0,0,0,30,27,32,38,38,16,182,63,447,442,1144,157,69,41,14,4,2368,0,15,27,105,178,74,34,10,6,448,30,365,782,3394,1411,1176,719,219,54,8156,0,12,33,533,311,529,612,294,244,2575,0,0,4,16,5,6,8,0,0,50,10,87,165,520,545,1094,1179,878,388,4863,12,117,228,467,233,180,167,50,9,1467,39,300,433,1185,746,444,284,154,35,3619,24,235,254,1180,364,146,120,67,22,2418,7,39,66,643,95,69,38,6,0,956,15,112,167,1099,426,164,84,9,0,2065,7,19,13,100,52,36,35,23,10,310,42,212,266,798,258,294,248,121,22,2264
4RSAU,0,0,0,0,0,9,31,5,5,57,0,0,0,0,4,5,4,0,0,12,0,3,16,61,27,12,8,4,0,125,0,0,19,72,0,0,0,0,0,88,0,10,4,32,52,97,369,199,58,819,9,57,99,357,279,377,226,97,20,1526,0,0,0,0,4,0,7,0,6,17,3,15,5,47,3,0,4,0,0,80,0,3,5,22,31,19,12,0,4,101,12,122,148,669,315,288,182,54,5,1798,0,0,0,23,19,18,32,16,14,131,0,0,0,0,0,0,0,0,0,3,4,14,24,69,88,260,318,235,85,1094,0,7,5,18,24,18,11,0,0,81,12,61,64,198,129,72,63,30,3,629,0,10,9,91,16,10,8,0,0,145,0,3,8,99,4,0,4,0,0,116,3,37,52,172,110,36,9,0,0,422,0,0,0,10,8,8,11,0,0,38,4,26,14,98,62,77,85,19,7,392
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,7,6,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,0,4,8,29,29,77,136,71,28,375,3,82,254,1101,276,334,292,133,66,2544,5,73,292,1483,766,835,786,301,193,4728,8,58,376,1474,77,47,16,4,0,2051,17,59,115,467,348,374,986,811,421,3602,180,1749,2804,9653,5163,5064,2805,905,203,28522,3,12,43,429,265,346,327,187,87,1699,41,400,276,1584,209,130,98,29,3,2774,0,31,107,212,251,134,43,13,0,795,67,1393,2779,7202,3266,1873,1048,239,36,17906,4,39,52,812,409,550,701,211,234,3016,0,6,20,52,44,41,26,15,0,204,22,346,686,2335,1937,2464,2100,1290,509,11698,34,425,902,2605,1274,1433,1209,421,124,8417,79,1081,2571,6455,4414,2752,1574,732,254,19913,23,237,426,1703,639,469,403,210,64,4177,25,65,55,1700,169,118,97,11,4,2245,49,424,737,2650,1287,631,304,54,15,6146,6,34,25,289,139,78,41,16,9,648,97,477,514,1649,579,539,429,167,46,4494
5RWAU,0,0,0,3,5,10,10,12,5,45,0,3,11,47,9,25,11,0,0,112,0,5,6,99,45,33,29,12,4,231,0,9,13,75,6,0,0,0,0,104,0,15,16,129,91,106,274,175,58,861,60,360,575,2364,1370,1578,829,208,48,7385,0,0,0,4,9,7,11,11,3,46,4,25,13,89,10,9,4,0,3,163,4,23,26,55,62,29,17,0,0,214,29,349,409,1660,670,439,218,42,0,3816,0,0,7,65,38,22,44,17,28,223,0,0,0,19,4,15,6,0,0,37,0,23,40,234,192,379,311,201,62,1447,0,15,20,112,67,66,50,13,3,353,15,207,321,995,736,426,242,102,32,3077,0,23,18,113,36,14,13,13,0,228,8,5,10,377,4,8,0,0,0,412,14,118,83,531,323,157,44,7,3,1280,0,0,0,11,4,6,0,0,0,17,5,36,36,276,112,130,135,38,7,782
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,10,0,7,10,42,19,22,12,3,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,21,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,15,3,0,0,4,0,0,0,0,0,7,0,0,5,7,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,5,0,0,21
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,0,0,0,0,0,5,7,4,0,19,0,0,5,8,4,0,0,4,0,25,0,0,8,34,8,9,3,3,0,69,3,64,250,1526,4,9,4,0,0,1868,0,4,5,38,38,43,129,94,46,392,5,38,60,298,199,216,171,79,25,1087,0,0,0,0,0,0,3,0,0,3,15,19,22,193,12,3,3,0,0,266,0,3,7,13,49,16,7,3,0,98,5,36,58,351,123,100,81,16,3,781,0,0,0,47,24,28,52,46,28,215,0,0,0,0,3,5,0,0,0,4,0,16,21,57,55,91,106,102,41,484,3,9,32,83,31,14,21,10,0,210,8,36,39,181,99,79,89,21,21,569,7,15,35,275,16,15,19,3,0,388,0,4,5,200,7,0,0,0,0,220,4,29,34,163,76,30,20,0,0,348,0,0,0,3,3,7,5,0,0,21,13,44,56,197,78,83,79,22,9,574
6RTAS,0,0,0,0,5,6,12,6,4,31,0,0,0,0,4,3,4,5,0,22,4,10,28,52,18,8,5,0,0,123,4,53,165,754,13,10,0,0,0,998,0,3,10,42,43,75,228,217,61,675,12,46,72,318,344,417,316,124,20,1662,0,0,0,3,0,3,0,3,0,6,9,11,20,95,10,3,0,3,0,152,0,0,5,16,46,20,21,0,0,106,3,40,57,404,175,156,124,42,8,999,0,0,0,24,21,32,33,14,13,133,0,0,0,6,0,0,0,0,0,12,0,12,14,43,55,145,184,137,37,635,0,10,10,34,20,22,25,3,3,126,7,25,36,139,106,90,72,30,13,511,3,16,22,145,31,14,5,8,0,248,0,4,4,169,7,9,0,0,0,192,9,17,17,118,69,43,15,0,0,299,0,0,0,5,6,6,3,0,0,18,4,21,27,136,73,92,118,33,4,501
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,5,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,0,0,0,0,4,0,0,0,0,12,0,0,3,21,0,0,0,0,0,30,0,0,8,48,15,14,4,3,0,90,0,35,177,922,16,14,5,0,0,1170,0,3,0,36,15,19,32,22,0,128,7,45,63,379,244,251,128,45,6,1164,0,0,0,0,0,0,0,0,0,3,15,30,22,119,18,7,0,0,0,204,0,12,22,57,86,43,28,0,0,251,13,217,374,1357,526,342,217,60,13,3121,0,0,3,31,4,6,10,3,0,58,0,0,4,5,4,0,4,0,0,18,0,3,9,52,39,50,24,28,10,212,0,5,13,45,30,31,29,17,0,173,4,33,32,123,64,25,10,6,0,308,6,47,42,296,46,31,25,15,7,511,4,12,4,241,9,10,0,0,0,281,5,39,69,279,141,100,48,20,0,709,0,0,0,10,0,0,0,0,0,18,3,22,15,98,25,28,19,4,0,220
7RNTE,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,3,4,0,0,19,0,0,0,3,0,7,0,0,0,10,0,9,18,152,5,3,0,0,0,192,0,0,0,16,7,5,13,5,3,47,7,56,55,259,132,151,67,17,4,746,0,0,0,0,0,0,0,0,0,0,0,0,5,25,0,0,0,0,0,31,0,0,13,32,23,13,7,0,0,89,9,39,38,315,130,88,49,3,5,679,0,0,0,10,0,0,0,0,0,18,0,0,0,6,0,0,7,0,0,17,0,0,0,20,15,18,9,12,0,67,0,0,0,7,3,5,0,0,0,20,0,13,22,54,29,31,6,4,0,156,0,4,4,56,5,0,4,0,0,77,0,0,0,44,3,6,0,0,0,56,0,0,6,54,33,13,4,0,0,116,0,0,0,0,4,0,0,0,0,3,15,53,30,139,44,42,20,3,0,346
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,8,0,0,0,12,9,12,4,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,0,0,5,6,5,11,55,30,13,127,0,11,17,93,32,23,16,3,0,198,0,3,32,124,81,40,29,17,10,340,8,35,520,1974,37,29,16,3,0,2633,0,19,32,64,43,52,139,124,57,533,23,148,242,751,436,421,263,126,32,2442,0,0,6,72,36,56,61,17,6,249,12,135,125,787,105,42,22,0,0,1239,0,3,22,89,128,90,36,12,4,376,10,154,269,1439,499,389,230,66,13,3067,0,14,7,145,77,98,131,60,44,578,0,7,24,42,29,30,9,8,0,147,5,21,40,123,117,177,177,175,69,888,8,54,95,214,107,75,56,14,8,629,9,66,167,408,278,128,101,36,17,1212,5,78,123,688,266,260,172,72,29,1687,3,12,25,258,49,25,17,5,0,395,10,65,104,535,191,114,69,19,3,1112,3,11,6,44,33,19,19,6,0,130,56,201,243,613,258,162,165,70,4,1777
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,34,28,50,44,24,3,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,0,0,16,12,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,4,3,4,0,0,17,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,10
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
