GCCSA_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
1GSYD,7636,13421,15156,15329,16996,23708,37006,23653,7232,160134,5396,13231,16776,16108,16578,21085,34960,30026,16605,170772,4970,18749,26942,24119,22120,21899,23307,14738,6979,163823,3200,18709,31964,27560,24599,21802,16541,8711,2835,155922,1748,19036,39038,31697,29088,23542,13419,6112,2167,165848,809,17643,48778,36691,31976,25738,12099,4119,1376,179229,243,10982,42990,30442,25494,18766,7374,2210,775,139282,108,4658,37323,29273,23862,16248,5863,1944,710,119984,57,1756,26042,24259,19775,12672,4126,1228,425,90335,48,1188,37111,48675,36916,20698,5546,1598,560,152347,25,190,5555,11632,9522,4720,1533,530,239,33939,47,256,5731,19333,19980,9307,3072,1355,562,59637,7594,10276,26428,21544,16600,13905,13310,13548,15461,138660,142533,166569,410190,392253,340388,296496,230601,134013,64908,2177951,144273,35377,50047,46447,40011,55300,46616,20131,7814,446020,48391,12593,7918,9344,9096,13335,14535,6709,2239,124166,31154,26473,18405,18082,17786,25017,27563,16375,5440,186291,13808,24968,26405,24100,27191,39161,66859,47995,15147,285635,11273,24782,27961,24374,25939,34157,56897,46128,23550,275064,13108,36499,44470,35248,32989,35502,40829,25870,10466,274989
1RNSW,4786,6140,8017,7782,9759,17242,33550,21513,5582,114373,3889,6370,9842,9363,11180,18072,32252,26901,15041,132912,3976,9573,16151,14405,15118,18902,22309,13363,5945,119748,2585,10786,18510,16693,16423,16913,14323,7572,2468,106268,1460,10541,20887,18268,19304,18075,10176,4383,1551,104645,654,7402,20841,18814,20120,18335,8221,2542,745,97677,200,4070,15012,13573,14058,11353,4220,1147,352,63992,76,1568,12095,11582,12156,9163,3198,1364,553,51746,36,563,7527,8816,9560,6752,1919,527,160,35866,25,414,7588,13801,15316,9337,2335,595,177,49592,13,53,858,2080,2350,1643,544,213,73,7823,74,118,925,2808,3837,2652,1338,689,237,12685,6320,5457,11627,11208,11154,12075,12622,12392,10413,93261,78934,74384,166628,165984,178733,195902,176704,106086,47884,1191247,55201,8055,12324,11749,13633,27515,20072,7745,2998,159291,34653,3990,3597,3880,4630,9044,10039,4117,1372,75325,19102,11264,10166,9013,10459,18012,21950,11593,3402,114963,8382,11344,13944,12746,16956,30015,61784,43953,12080,211196,8533,11186,15463,14415,18524,30845,56726,43900,21739,221337,10211,16840,23150,20094,22289,30519,41023,24262,8786,197181
19499,12,41,57,66,80,86,78,23,3,448,8,24,48,56,53,72,88,24,12,372,13,26,84,44,51,61,44,11,3,335,11,44,76,39,33,48,23,6,0,285,9,30,95,37,31,38,13,0,0,254,0,25,72,28,35,29,14,0,0,209,0,3,42,22,14,10,5,0,0,100,0,5,36,27,17,6,4,0,0,105,0,0,22,19,7,6,5,0,0,62,0,0,28,21,21,19,0,0,0,96,0,0,4,6,7,6,0,0,0,20,0,0,5,16,15,4,5,0,0,49,92,133,323,277,193,142,60,18,7,1244,279,418,1022,749,666,698,404,104,32,4381,110,62,118,99,108,160,64,9,5,733,43,17,35,30,26,54,21,3,0,230,95,75,117,99,122,114,54,13,0,689,24,82,139,179,184,190,178,52,4,1033,16,43,97,100,125,156,249,65,13,866,22,46,126,87,94,115,106,20,3,624
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,6624,15957,16595,15647,16217,21399,34377,23697,7246,157761,3854,14424,17523,16470,17281,20168,34812,30695,17895,173122,3212,17907,27540,24172,22917,21364,23365,14788,6771,162036,1858,15829,31340,28207,25172,21207,16556,8559,3034,151767,1106,16875,41010,33194,29979,22955,12826,5455,2142,165554,476,15079,49890,36385,32032,24260,10667,3475,1143,173408,135,7824,43717,30061,24541,17400,6427,1887,650,132651,76,3040,36852,28712,23468,15367,4941,1698,652,114801,35,1037,22225,22418,17542,10892,3225,929,357,78659,36,738,27734,39548,30726,16539,4132,1270,474,121188,26,165,3729,8734,7524,3770,1115,415,184,25649,54,220,3159,12789,14380,6748,2436,1082,490,41366,6976,9294,23335,18631,15383,12796,12613,11958,11849,122834,133838,160090,398093,371203,322760,273358,214827,127601,61530,2063309,132239,34515,48284,44789,37243,50379,40517,16792,6868,411627,56731,16052,9486,10312,9743,12910,13335,6140,2162,136880,31728,32349,21212,19317,18177,23311,26187,15413,5459,193155,11712,29211,28816,24081,25759,34585,60934,47196,15135,277429,8276,26888,29178,24482,26343,31691,55732,46547,25355,274490,8646,34793,44955,34820,33100,33543,40625,25953,10281,266724
2RVIC,2172,3539,4843,4677,5696,9757,18954,11325,2847,63819,1726,3463,5470,5728,6757,10434,18662,14616,8106,74970,1649,4981,9036,8831,9151,11086,12975,7250,3306,68255,1050,5360,10309,9678,9940,10233,8508,4034,1270,60390,636,5556,11754,10505,11103,10263,5835,2319,817,58782,287,3866,11764,10352,11253,10104,4363,1296,444,53721,66,1928,8517,7504,7846,6515,2292,674,196,35546,27,781,6997,6596,6901,5316,1732,691,289,29330,17,252,3694,4491,4921,3474,1015,268,109,18234,11,172,3623,6221,7131,4706,1175,324,113,23476,10,27,394,1025,1212,834,312,102,41,3945,25,63,484,1543,1941,1458,709,393,135,6749,3520,2831,6297,6333,6645,7195,8006,7101,5906,53840,42621,39392,93516,94090,101314,111524,101472,57215,25907,667057,30996,4425,7450,7077,7808,15560,11527,4093,1538,90475,20965,2320,2342,2550,2740,4985,5543,2220,701,44366,10553,6372,6014,5564,6167,10328,12664,6362,1869,65888,3850,6259,8139,7436,9474,16331,34618,23192,6117,115419,4043,6159,8661,8486,10793,17044,32753,23872,11723,123531,4579,9070,12984,12009,13136,17354,23862,13434,4969,111399
29499,11,34,59,63,49,44,42,6,0,301,7,33,60,51,50,62,43,19,6,319,9,35,78,49,35,28,18,7,0,257,0,15,72,30,29,19,9,3,0,180,4,18,57,21,23,17,7,0,0,156,0,9,44,16,17,19,5,0,0,113,0,5,28,12,6,12,9,0,0,69,0,0,30,12,5,8,5,0,0,64,0,3,19,7,3,5,0,0,0,41,0,0,21,21,6,6,0,0,0,49,0,0,0,3,0,5,0,0,0,13,0,0,10,11,3,5,0,0,0,22,81,91,297,337,180,119,59,13,8,1184,229,321,878,730,479,429,224,58,19,3373,106,45,102,107,83,80,40,7,6,577,24,20,23,24,31,27,10,5,0,156,77,88,100,98,94,50,24,8,0,544,17,60,144,152,122,113,94,16,7,727,12,50,92,96,110,114,105,42,11,626,15,54,108,86,66,52,40,14,5,442
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,4899,7601,8159,7058,7480,10737,19605,11684,2927,80151,3317,7285,9082,8108,8634,10614,20153,15862,7865,90916,3161,10463,15331,12728,11658,11616,14624,8707,3459,91745,1991,10994,18244,15347,13214,11188,8817,4432,1362,85589,1140,11261,22738,18138,16323,12548,6608,2668,862,92286,516,8801,24323,19748,18041,13514,5233,1506,534,92219,166,4981,19379,16182,14214,9796,3066,676,265,68727,62,2264,16406,15332,13307,8222,2173,710,243,58724,34,738,9908,11929,10818,6342,1480,356,112,41722,24,532,11662,19538,18023,9020,1745,456,169,61166,11,95,1475,3549,3389,1557,440,158,66,10739,39,118,1271,5198,5848,2716,949,439,174,16746,4067,5244,11411,9172,7587,6130,5954,5856,5874,61290,76779,86761,190232,184205,168506,141143,112118,62066,26771,1048582,63371,13557,17984,17031,15964,22920,15972,5787,2031,174606,32945,5755,4113,4697,4592,6583,6814,2692,766,68945,19878,14090,10276,8509,8334,11110,13548,6946,1931,94624,8702,14086,14741,11550,12465,17951,35466,23831,6092,144896,6394,12955,14596,12141,13371,17144,33378,25118,11313,146411,7115,18584,23562,17873,16801,18027,25645,15239,5158,148003
3RQLD,4445,5579,7966,7754,9242,14853,27655,16735,3748,97983,3476,5602,9162,9068,10240,14494,26366,20331,10162,108896,3818,8892,15427,14619,14569,16418,18426,10911,4118,107199,2536,10583,18374,17049,16687,15256,11216,5456,1602,98768,1460,10527,21381,18961,19628,16229,8055,3114,935,100291,620,7021,19808,18849,19561,15906,6040,1818,519,90142,201,3914,13906,13612,13789,10453,3333,902,255,60373,92,1900,11309,11962,12158,8324,2638,946,336,49664,48,771,6585,8493,9419,6099,1645,422,118,33605,41,726,7106,11636,12911,7690,1894,493,143,42641,13,82,981,1908,2145,1370,473,193,55,7217,45,118,1019,2653,3187,2147,1098,542,160,10968,6114,6558,14543,12560,12565,11933,10951,9607,6909,91748,75915,73598,166061,168330,175891,173823,145075,81697,32328,1092718,52554,8413,13819,13481,15109,26242,18505,6602,2144,156870,34198,3742,3797,4221,4518,7808,8209,3405,1068,70969,19538,10174,10266,9317,10182,16071,18483,9345,2543,105906,7915,10025,13465,12260,15455,25163,51515,34769,8286,178858,7006,9780,13909,13274,16034,23972,46434,33703,14932,179046,8625,15436,22181,20022,21002,25913,33929,19942,6361,173415
39499,25,52,83,93,111,181,229,42,5,804,16,30,63,68,83,117,167,38,8,589,10,46,127,79,76,94,85,14,3,538,5,46,120,53,44,70,66,11,0,415,3,50,159,54,57,63,34,6,0,427,0,26,110,53,38,47,20,0,0,298,0,12,52,28,28,37,6,5,0,170,0,7,48,33,20,23,4,0,0,135,0,0,33,17,16,15,4,0,0,81,0,0,26,27,13,10,0,0,0,88,0,3,6,7,9,3,0,0,0,24,0,0,9,14,10,9,0,6,0,41,53,122,325,207,187,175,113,26,3,1213,291,493,1345,885,887,1170,870,160,25,6127,182,57,176,136,161,307,115,22,6,1149,50,27,47,32,38,80,33,8,0,309,104,104,157,168,172,203,147,28,0,1085,41,99,185,229,232,334,490,119,4,1729,29,59,118,148,183,237,416,97,16,1303,26,64,192,133,128,201,226,35,0,1013
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,5,0,0,0,0,0,24,0,9,13,7,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
