GCCSA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
1GSYD,1020631,3157802,79402,179358,154597,413555,234000,592909,93811,183780,154743,312327,186397,388262,118617,247506,8420,21586,561988,1153457,679,1017,980,1447,78,164,6477,14040,8216,16670,4023,8472,1828859,4929313,164628,..,1993486,4929313
1RNSW,882102,2267582,69231,116606,37349,74994,106581,191598,39466,63357,10994,18398,10772,18474,4681,8314,2129,4401,68041,112947,3047,4756,5051,7565,470,831,2585,5530,11158,18682,3733,7207,1071609,2598016,134891,..,1206503,2598016
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
2GMEL,1207906,3498772,161025,331561,127502,314788,288524,646350,86637,156506,52803,86651,62741,103029,74322,128380,1008,2200,277512,476760,421,542,1442,1836,24,57,3672,7216,5565,9650,1837,3732,1781346,4635264,198685,..,1980028,4635264
2RVIC,547518,1342786,38437,59114,5284,10307,43726,69423,10448,15309,489,768,346,537,149,274,166,305,11604,17179,1528,2233,2109,3272,150,279,1116,2257,4898,8038,1142,2317,608887,1439740,99346,..,708232,1439740
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
3GBRI,669242,1917985,32191,55644,71362,156730,103557,212369,35505,59012,34907,60732,31050,55718,30739,54147,1690,3372,133894,232984,1430,1993,1827,2545,86,235,333,714,3665,5484,1686,3152,912040,2371970,66060,..,978095,2371970
3RQLD,728682,1945772,59220,104057,55778,117325,114991,221389,37020,62987,23575,41618,18694,34103,19433,35162,912,1889,99634,175765,5480,9177,2504,4087,921,1733,939,2013,9851,17012,4262,8341,957416,2368276,126340,..,1083757,2368276
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,..,3,0
4GADE,402136,1062673,63801,117638,23740,51175,87535,168814,29848,50038,4352,7025,5599,9345,3677,6185,289,615,43766,73215,562,860,336,451,7,20,450,953,1356,2286,1252,2472,536048,1309458,40066,..,576110,1309458
4RSAU,136865,320138,12586,21864,522,1040,13105,22906,3059,4203,109,155,35,52,3,11,54,125,3262,4540,652,1189,423,717,73,154,257,595,1408,2660,627,1180,155264,351432,43758,..,199029,351432
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
5GPER,605453,1651334,79348,148616,30979,62519,110325,211136,18894,30485,14370,22805,16121,26200,9300,16017,808,1662,59492,97162,955,1354,1067,1523,95,207,419,873,2537,3954,820,1581,778620,1965172,72701,..,851322,1965172
5RWAU,163583,413592,12837,21935,2285,4493,15123,26426,2147,3393,293,459,155,253,169,261,108,209,2871,4574,1968,3474,799,1247,240,480,319,750,3325,5952,1207,2371,186111,452913,45409,..,231520,452913
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,13,3,15,0,..,3,15
6GHOB,80846,205039,3240,5408,2530,5092,5768,10494,5960,10647,1030,1716,593,1040,31,46,147,297,7759,13750,97,156,101,168,8,21,194,451,396,793,205,386,94980,230469,7522,..,102498,230469
6RTAS,110713,263002,6231,9481,1399,2816,7632,12292,3433,5375,154,225,80,117,9,18,145,262,3817,6006,439,672,250,451,46,88,256,509,994,1714,283,547,123432,283560,21659,..,145095,283560
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
7GDAR,29937,89703,2755,5418,2187,4889,4950,10306,4037,8160,1919,4070,3253,6908,2592,5218,27,51,11824,24400,294,609,81,138,40,67,22,53,429,872,151,265,47297,125550,5025,..,52322,125550
7RNTE,17274,64322,2998,7220,1019,2200,4016,9430,765,1438,24,42,15,37,0,0,12,49,821,1559,450,919,114,207,141,367,42,80,745,1570,511,967,23364,77856,5378,..,28741,77856
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,0,..,3,12
8ACTE,106433,303827,13757,27077,15164,34965,28921,62046,5628,10224,7745,14238,12642,22199,6206,11000,442,862,32669,58520,45,64,105,181,0,0,7,33,168,276,213,449,168400,425111,11988,..,180389,425111
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
9OTER,1259,3052,95,233,14,33,106,258,78,136,51,136,5,13,0,0,12,14,141,296,0,0,0,9,0,0,3,7,5,14,23,35,1533,3657,331,..,1861,3657
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
