LGA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA18350,18252,46282,942,1447,341,602,1288,2051,386,655,17,39,0,0,0,3,56,118,464,809,21,38,74,89,7,10,45,95,146,232,35,73,20184,49445,2250,..,22436,49445
LGA18400,16388,49784,556,896,67,153,615,1046,99,144,4,9,0,0,0,0,60,160,168,315,0,0,66,73,9,4,35,65,106,147,47,83,17325,51371,894,..,18211,51371
LGA18450,55191,154233,3935,7180,5888,12608,9827,19785,5711,10045,3016,5150,3827,6966,2075,3959,296,696,14928,26816,24,41,224,326,3,4,310,641,565,1011,152,323,80658,202171,5460,..,86119,202171
LGA18500,4894,14843,675,1545,3927,9593,4602,11134,1886,3779,4663,8915,4093,7185,1455,2422,72,163,12170,22457,0,0,0,0,0,0,192,359,192,359,50,100,21907,48886,3655,..,25561,48886
LGA18710,5594,15547,187,302,15,38,201,345,80,100,0,0,0,0,0,0,8,17,86,120,8,10,3,0,0,0,5,10,11,27,38,72,5932,16110,531,..,6460,16110
LGA19399,280,760,5,3,22,46,23,48,0,0,0,0,0,0,0,0,11,14,11,13,7,15,0,5,0,0,0,0,7,24,28,69,353,923,60,..,413,923
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA20110,4870,11228,238,376,15,27,252,406,40,74,0,0,0,0,0,0,4,11,45,87,14,26,7,5,0,0,19,35,31,68,20,52,5222,11843,1434,..,6661,11843
LGA20260,4179,9581,294,410,8,18,300,430,4,31,6,7,0,0,0,0,0,4,12,45,14,26,12,19,0,0,7,17,28,61,12,28,4541,10142,602,..,5141,10142
LGA20570,37980,94623,4802,7964,544,1016,5344,8986,1021,1462,88,129,3,5,0,0,14,29,1121,1616,34,46,46,60,6,3,49,111,126,222,75,152,44654,105593,3584,..,48235,105593
LGA20660,36197,97923,4252,7576,3493,8215,7746,15790,1895,3375,476,790,932,1500,299,464,29,56,3636,6188,0,0,0,0,0,0,37,76,40,73,49,90,47666,120069,3941,..,51602,120069
LGA20740,15225,34440,671,938,293,612,961,1552,214,329,27,30,12,16,0,6,9,5,257,392,43,55,127,173,0,0,16,30,183,257,36,80,16662,36724,10831,..,27496,36724
LGA20830,19615,50524,848,1289,45,69,891,1359,590,877,0,0,0,0,0,0,6,16,595,895,16,25,282,395,0,3,9,23,311,441,34,63,21441,53280,1924,..,23365,53280
LGA20910,23722,67756,4494,8563,4115,9825,8612,18390,2140,3621,1362,2300,1559,2434,240,386,18,37,5317,8778,0,0,0,0,0,0,252,458,253,459,36,82,37936,95455,3871,..,41805,95455
LGA21010,5391,12163,581,816,3,8,583,820,7,6,0,0,0,0,0,0,0,0,6,5,29,32,5,8,0,0,7,28,43,69,15,19,6033,13081,737,..,6770,13081
LGA21110,34771,103222,7738,16545,4763,12163,12501,28713,5346,9470,4894,8197,4271,7128,636,1003,18,40,15162,25842,0,0,0,0,0,0,218,436,218,436,74,138,62715,158345,8147,..,70862,158345
LGA21180,52121,155063,5046,11779,3908,10677,8955,22458,2295,4682,141,221,145,237,91,145,54,128,2731,5412,0,0,29,37,6,6,53,134,87,181,61,141,63949,183245,4288,..,68236,183245
LGA21270,2399,5265,76,160,0,6,80,171,44,52,0,0,0,0,0,0,0,0,44,52,18,30,6,4,0,0,6,19,27,51,5,11,2555,5548,558,..,3118,5548
LGA21370,13593,33184,1205,1759,21,31,1224,1793,38,60,0,0,0,0,0,0,4,3,37,69,37,62,135,212,3,4,16,45,200,322,31,57,15079,35421,1726,..,16804,35421
LGA21450,36059,105478,2213,3898,821,1855,3028,5750,301,480,20,29,0,6,3,7,17,37,340,558,5,6,120,141,3,3,12,18,140,172,37,89,39607,112040,2122,..,41728,112040
LGA21610,102149,322162,7109,16404,2890,7732,9995,24135,902,1690,50,87,0,0,0,0,51,108,1007,1888,11,22,89,114,0,3,22,40,122,174,91,229,113365,348590,4629,..,117991,348590
LGA21670,5207,11475,369,506,17,29,386,538,60,72,0,0,0,0,0,0,0,0,62,81,55,67,0,0,0,5,45,90,97,160,21,34,5774,12277,790,..,6563,12277
LGA21750,8063,19238,590,802,46,86,637,888,30,44,0,4,0,0,0,0,5,11,36,62,24,32,33,44,12,19,20,48,81,143,24,40,8848,20372,2808,..,11657,20372
LGA21830,6053,14209,226,323,9,22,239,344,12,20,0,0,0,0,0,0,0,0,12,20,9,14,0,0,5,9,16,23,23,50,15,26,6343,14649,1077,..,7424,14649
LGA21890,33636,90629,8518,16973,7663,17020,16180,33991,4488,6930,1456,2322,2863,4683,440,652,34,82,9283,14669,0,0,4,5,0,0,344,698,341,698,44,76,59488,140068,6442,..,65929,140068
LGA22110,17897,40880,1220,1787,123,238,1340,2021,155,232,9,12,0,0,0,0,0,8,168,247,100,134,168,259,4,10,24,56,297,461,68,131,19771,43748,4564,..,24334,43748
LGA22170,42288,112332,6872,11283,2219,4552,9090,15832,914,1335,180,282,116,177,24,31,50,95,1284,1918,26,36,253,310,0,0,32,97,307,441,50,83,53019,130605,3280,..,56304,130605
LGA22250,4083,9251,197,261,0,6,196,262,7,12,0,0,0,0,0,0,0,0,7,12,42,59,3,8,0,0,9,17,55,81,19,31,4359,9644,613,..,4977,9644
LGA22310,27526,79790,8187,17602,5591,15015,13778,32619,9716,17290,2902,5088,3360,5802,385,609,38,87,16397,28877,0,0,0,0,0,0,208,414,208,416,56,116,57971,141814,6369,..,64338,141814
LGA22410,7578,17308,392,573,42,59,435,631,83,117,6,7,0,0,0,0,0,12,87,139,32,46,17,36,0,3,20,32,74,118,16,35,8190,18225,1373,..,9565,18225
LGA22490,8169,23330,89,175,0,5,95,180,5,6,0,0,0,0,0,0,5,10,7,17,3,10,5,0,5,5,3,8,14,26,4,13,8287,23561,729,..,9019,23561
LGA22620,42612,105983,2835,4408,455,861,3291,5266,405,637,17,44,0,0,0,0,15,19,436,700,70,94,44,69,12,24,41,87,162,277,95,206,46599,112436,3997,..,50599,112436
LGA22670,36911,114661,5758,12963,3408,9752,9162,22719,4412,9214,450,857,433,799,0,0,35,87,5323,10949,87,111,92,106,0,0,33,75,215,292,61,132,51670,148754,3802,..,55471,148754
LGA22750,89397,227414,8789,14036,2071,4183,10866,18224,1928,2999,170,262,302,450,134,229,22,37,2558,3985,77,104,338,449,7,12,136,311,556,884,132,255,103508,250762,12334,..,115839,250762
LGA22830,21909,57582,2143,3531,102,199,2241,3730,48,62,13,16,4,3,0,0,4,7,66,89,209,274,83,122,6,23,230,334,528,756,44,103,24795,62266,2104,..,26895,62266
LGA22910,6470,14297,140,220,37,63,177,280,96,115,0,0,0,0,0,0,3,12,100,128,33,45,7,13,9,12,27,55,80,126,20,40,6846,14872,2008,..,8849,14872
LGA22980,2241,5032,68,97,7,7,74,101,30,32,0,0,0,0,0,0,0,0,30,32,3,6,5,5,0,0,10,10,14,29,7,13,2367,5203,587,..,2956,5203
LGA23110,23967,63494,3558,6932,4687,11766,8236,18699,1508,2525,273,433,401,625,150,230,15,31,2350,3843,0,0,0,0,0,3,68,134,69,137,43,85,34663,86254,3132,..,37798,86254
LGA23190,7469,17892,343,463,6,11,351,479,371,494,0,0,0,0,0,0,0,0,371,494,12,13,4,11,0,0,3,11,21,32,8,13,8216,18915,910,..,9126,18915
LGA23270,66487,210616,3954,8895,2873,7382,6828,16278,2070,4354,0,4,128,286,0,0,45,81,2242,4723,46,48,63,68,0,6,8,22,123,147,67,170,75740,231940,4513,..,80257,231940
LGA23350,6253,15191,238,343,3,4,236,344,34,49,0,0,0,0,0,3,4,6,37,53,29,45,9,9,0,0,28,74,68,132,22,56,6615,15778,690,..,7309,15778
LGA23430,35855,101411,9412,18160,6165,15057,15576,33216,6531,11533,967,1613,1287,2069,347,577,19,41,9155,15831,23,24,145,181,0,0,139,223,306,421,48,85,60940,150965,4731,..,65671,150965
LGA23670,47854,134038,5021,9207,2931,6847,7959,16053,671,1107,385,598,243,388,170,261,56,131,1531,2492,0,0,0,0,0,0,47,92,47,92,37,71,57422,152738,2973,..,60403,152738
LGA23810,26943,65281,1649,2234,150,290,1802,2524,1696,2350,0,0,0,0,0,0,4,12,1703,2353,36,46,64,105,14,24,8,23,124,196,34,64,30610,70433,2961,..,33562,70433
LGA23940,2907,6542,71,116,0,0,70,118,4,3,0,0,0,0,0,0,0,0,4,3,25,50,9,15,0,4,14,33,56,106,12,16,3049,6784,872,..,3929,6784
LGA24130,16880,45966,945,1550,60,121,1000,1670,35,70,13,30,0,0,0,0,9,25,56,124,11,19,54,137,3,7,34,56,102,220,17,45,18060,48020,1648,..,19699,48020
LGA24210,32131,91832,2890,5824,4543,12440,7437,18270,1420,2823,685,1230,1518,2780,1317,2434,19,53,4958,9326,5,3,0,0,0,0,8,23,11,32,35,95,44574,119556,4165,..,48744,119556
LGA24250,3649,8378,124,201,5,6,127,205,13,27,0,0,0,0,0,0,0,6,13,34,8,10,19,29,3,5,0,0,30,51,9,31,3830,8695,2300,..,6131,8695
LGA24330,16731,45673,2558,5029,5563,13935,8118,18961,2898,5100,1787,3062,2360,3872,1525,2469,38,93,8613,14593,0,3,8,15,0,0,184,399,197,410,42,70,33695,79712,4955,..,38656,79712
LGA24410,37499,99067,2508,4674,1225,2755,3734,7428,420,790,618,997,575,958,74,117,28,62,1711,2925,0,0,0,0,0,0,20,48,23,44,40,83,43006,109547,2705,..,45711,109547
LGA24600,1576,4057,2346,5055,5745,13910,8095,18966,1876,3401,4357,7500,9622,16521,44854,78446,9,14,60718,105877,0,0,8,9,0,0,131,261,131,263,238,406,70760,129569,26071,..,96839,129569
LGA24650,49974,157640,3011,6182,1342,3565,4353,9747,175,348,74,125,137,255,0,0,23,52,409,782,47,57,54,59,0,3,16,53,122,175,56,154,54907,168498,2803,..,57704,168498
LGA24780,18178,46724,1586,2577,72,136,1662,2714,1085,1656,19,23,0,0,0,0,4,4,1106,1683,101,152,145,291,8,19,22,41,281,510,57,108,21283,51737,2125,..,23408,51737
LGA24850,15944,43867,971,1561,120,244,1094,1805,26,40,0,0,0,0,0,0,10,25,36,69,26,46,0,4,0,0,11,26,43,78,23,53,17140,45870,1390,..,18530,45870
LGA24900,10801,25838,856,1246,36,67,890,1316,20,39,0,0,0,0,0,0,3,6,30,48,75,116,90,139,0,5,13,29,176,291,17,48,11917,27530,2115,..,14030,27530
LGA24970,46139,131106,5272,11980,5291,14947,10558,26924,6093,13611,1053,1863,2054,3428,951,1743,41,66,10187,20716,0,0,0,0,0,0,28,70,30,68,56,99,66979,178915,6914,..,73895,178915
LGA25060,26470,73499,4240,8813,5923,14330,10166,23138,3538,6204,2707,4282,3649,5818,1079,2085,20,31,10994,18410,0,0,0,0,0,0,145,299,145,299,35,68,47814,115416,5358,..,53173,115416
LGA25150,12518,33717,702,1112,124,251,829,1370,47,50,0,0,21,26,0,0,15,30,85,108,17,37,21,41,4,8,15,27,58,110,14,26,13500,35332,1307,..,14807,35332
LGA25250,36218,99137,7530,14967,11188,26332,18715,41300,4619,7807,1717,2863,5069,8032,1131,1756,40,112,12575,20560,0,4,0,0,0,0,297,672,295,670,74,162,67871,161832,7597,..,75471,161832
LGA25340,55205,138457,5290,8454,1766,3662,7055,12115,1661,2654,129,205,40,67,0,3,51,89,1886,3019,41,49,372,524,6,13,33,58,450,639,52,99,64650,154331,24525,..,89181,154331
LGA25430,8075,17708,239,315,14,31,257,343,10,15,0,0,0,0,0,0,3,8,13,19,13,16,0,0,0,3,20,49,33,71,10,20,8396,18162,1194,..,9589,18162
LGA25490,6221,15587,146,238,32,50,176,289,8,17,0,0,0,0,0,0,0,0,10,14,4,8,3,9,3,9,10,11,26,34,9,17,6439,15943,1625,..,8065,15943
LGA25620,5738,13169,107,147,0,6,106,156,3,9,0,0,0,0,0,0,0,8,6,13,37,57,78,108,3,12,15,15,133,186,19,33,6006,13559,1679,..,7684,13559
LGA25710,19557,57580,306,530,428,951,726,1479,528,954,40,51,32,44,0,0,13,22,609,1075,0,6,3,0,0,0,3,10,9,18,9,28,20912,60179,999,..,21915,60179
LGA25810,4569,10186,148,204,0,4,145,207,141,194,0,0,0,0,0,0,0,0,139,196,24,34,0,4,0,0,10,27,41,64,8,20,4903,10673,871,..,5778,10673
LGA25900,4239,11599,5999,13894,5407,13130,11406,27020,6525,10812,11198,17732,6072,9767,8598,14414,43,94,32443,52818,0,0,0,0,0,6,561,912,564,920,81,131,48731,92482,11066,..,59798,92482
LGA25990,2908,6499,28,37,3,7,27,45,3,3,0,0,0,0,0,0,0,0,3,3,13,20,10,22,0,4,4,11,29,53,10,7,2976,6609,692,..,3671,6609
LGA26080,1300,2711,75,102,23,40,92,144,26,39,0,0,0,0,0,0,0,4,32,38,0,0,7,12,0,0,5,11,10,25,4,4,1441,2924,1243,..,2682,2924
LGA26170,11464,27111,306,421,26,56,331,474,109,129,0,0,0,0,0,0,5,4,111,137,25,24,28,34,3,8,32,59,78,126,18,24,12001,27871,4148,..,16154,27871
LGA26260,6400,14602,297,417,7,11,304,430,90,108,0,0,0,0,0,0,4,6,96,115,14,21,9,21,0,0,10,27,38,66,11,18,6844,15234,1021,..,7872,15234
LGA26350,12804,36207,4721,9883,4240,9697,8964,19578,5667,9836,8450,13342,5918,9170,5018,7780,10,23,25059,40160,0,0,0,0,4,4,346,558,344,561,58,123,47229,96623,9851,..,57080,96623
LGA26430,4481,9851,177,252,0,7,179,254,12,16,0,0,0,0,0,0,0,0,13,16,17,24,39,49,0,11,6,19,66,101,5,6,4734,10228,978,..,5714,10228
LGA26490,12363,32666,369,614,387,822,754,1435,43,61,31,52,7,16,0,0,0,4,83,129,11,25,16,49,0,0,9,16,39,86,27,49,13270,34368,6255,..,19527,34368
LGA26610,6734,17516,387,617,18,40,403,652,390,640,7,10,0,0,0,3,4,3,399,653,54,109,58,100,6,11,23,57,140,276,43,101,7718,19195,1006,..,8721,19195
LGA26670,2333,5284,34,50,0,0,34,50,13,17,0,0,0,0,0,0,0,0,13,17,3,12,3,7,0,7,8,14,21,38,0,7,2406,5395,481,..,2891,5395
LGA26700,10637,25718,1075,1499,60,92,1128,1592,3,8,0,0,0,0,0,0,5,3,10,6,28,38,16,23,0,4,17,33,57,99,14,29,11847,27444,1100,..,12952,27444
LGA26730,11658,28983,1248,1905,339,633,1589,2545,564,801,54,73,0,0,0,0,0,4,622,874,5,12,73,111,0,0,24,65,107,194,19,47,13993,32638,1230,..,15223,32638
LGA26810,16090,38336,519,818,95,132,617,950,624,822,25,49,0,0,0,6,7,20,661,895,57,78,52,82,5,13,31,60,142,226,34,71,17538,40484,4612,..,22151,40484
LGA26890,1584,3501,27,28,0,6,27,36,21,21,0,0,0,0,0,0,0,0,21,21,6,3,0,3,0,0,3,5,6,14,5,10,1643,3580,443,..,2085,3580
LGA26980,40779,114409,9919,19793,5298,13777,15216,33575,1915,3641,1436,2494,2107,3499,1513,2779,48,119,7018,12526,0,0,0,0,0,0,31,66,29,69,48,100,63094,160678,6413,..,69511,160678
LGA27070,65609,196320,4367,9911,3768,9178,8132,19088,1186,2536,421,658,518,812,0,0,27,66,2156,4065,0,5,0,3,0,0,14,51,20,57,48,86,75971,219623,4140,..,80108,219623
LGA27170,14559,37181,1360,1985,86,165,1445,2154,276,398,0,0,0,0,0,0,3,8,280,401,41,52,3,8,0,0,11,29,61,96,26,55,16372,39877,1091,..,17465,39877
LGA27260,79221,252007,5804,14553,2613,6609,8421,21162,1521,2856,23,41,479,765,0,0,24,46,2045,3710,32,55,44,53,0,0,8,28,87,134,53,132,89823,277149,6120,..,95935,277149
LGA27350,5086,13191,8673,19526,6554,15608,15229,35133,3091,5054,4525,7332,6814,11080,5470,9992,31,60,19928,33517,0,0,0,0,0,0,345,727,353,732,48,91,40646,82652,7151,..,47806,82652
LGA27450,52325,142237,2067,3263,849,1652,2919,4914,245,380,11,15,0,0,0,0,54,99,313,494,66,82,114,154,0,6,28,68,216,311,71,147,55842,148107,3632,..,59475,148107
LGA27630,2632,5727,56,65,0,0,56,65,14,20,0,0,0,0,0,0,4,3,15,21,16,18,0,0,0,4,25,37,36,63,0,6,2740,5881,655,..,3389,5881
LGA29399,80,224,4,10,0,3,3,9,25,57,15,50,15,38,9,18,0,0,64,170,0,0,0,0,0,0,0,0,0,0,8,31,156,434,319,..,475,434
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA30250,215,986,8,12,0,0,8,12,5,14,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,236,1018,85,..,314,1018
LGA30300,1386,3421,129,277,6,5,136,280,20,34,0,0,0,0,0,0,0,0,20,34,19,37,8,13,6,6,0,0,33,60,11,26,1588,3824,362,..,1956,3824
LGA30370,4648,11764,99,152,13,39,114,190,152,244,0,0,0,0,0,0,11,33,161,270,40,65,11,11,0,0,3,10,53,81,16,42,4995,12348,1126,..,6123,12348
LGA30410,995,2318,3,3,0,0,3,3,27,30,0,0,0,0,0,0,0,0,27,30,13,20,4,19,0,0,0,5,16,38,20,36,1058,2430,360,..,1417,2430
LGA30450,100,227,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,4,9,12,0,0,0,0,0,0,7,13,4,9,115,251,51,..,160,251
LGA30760,736,1647,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,3,7,14,24,0,0,0,0,0,0,14,24,3,3,759,1685,231,..,987,1685
LGA30900,115,299,5,18,0,0,8,15,3,6,0,0,0,0,0,0,0,0,7,7,8,20,0,0,5,8,0,0,7,29,7,5,144,360,59,..,202,360
LGA31000,291311,842224,8595,14494,43974,98686,52572,113185,26973,45368,32748,57432,28540,51582,29728,52337,907,1745,118894,208462,362,465,759,1046,23,69,202,434,1345,2017,998,1817,465124,1167705,36586,..,501707,1167705
LGA31750,87,218,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,7,8,0,0,4,7,5,3,3,6,8,20,9,35,119,276,35,..,146,276
LGA31820,32687,81867,2171,3333,481,838,2652,4169,2111,3252,40,77,140,242,0,0,4,9,2305,3579,562,876,107,187,24,34,33,60,717,1160,108,193,38462,90960,4183,..,42650,90960
LGA31900,5655,13614,466,726,81,127,549,855,38,63,0,4,0,0,0,0,0,0,36,65,78,112,9,12,0,0,16,32,102,161,48,93,6396,14785,1074,..,7471,14785
LGA31950,73,179,0,3,0,0,0,3,5,5,0,4,0,0,0,0,0,3,6,7,32,61,4,9,0,0,0,5,36,76,7,26,121,294,64,..,190,294
LGA32080,43972,119759,3082,5304,2922,5205,6004,10510,4973,8676,3218,5792,867,1594,414,769,20,50,9489,16883,175,293,178,295,30,46,90,185,470,820,386,658,60318,148631,6426,..,66737,148631
LGA32250,516,1470,11,23,0,0,11,23,55,86,0,0,0,0,0,0,0,0,56,84,59,111,8,13,0,7,0,10,70,137,16,26,672,1753,223,..,891,1753
LGA32260,9455,23300,520,939,211,414,732,1358,448,805,27,63,21,34,0,0,9,17,503,920,125,236,37,59,8,22,35,87,212,401,66,134,10962,26113,1989,..,12952,26113
LGA32270,7960,21691,355,645,222,401,578,1042,492,777,4,6,0,0,0,0,0,0,498,784,76,118,27,32,29,42,11,27,136,225,117,246,9284,23985,2893,..,12176,23985
LGA32310,3591,8621,290,534,65,110,355,648,13,17,0,0,0,0,0,0,0,0,13,23,60,106,18,22,3,12,14,27,90,170,27,79,4081,9535,801,..,4886,9535
LGA32330,271,1038,8,20,3,3,8,23,26,47,0,0,0,0,0,0,0,0,26,47,0,0,0,0,0,0,0,0,0,0,0,0,307,1117,12,..,319,1117
LGA32450,848,2291,19,17,4,3,24,30,107,174,0,0,0,0,0,0,0,0,107,174,47,96,8,10,6,10,3,6,65,121,17,36,1057,2651,299,..,1352,2651
LGA32500,1253,3150,72,123,21,28,89,158,3,10,0,0,0,0,0,0,5,9,7,15,56,108,20,30,42,80,9,32,131,254,26,53,1498,3626,345,..,1846,3626
LGA32600,72,186,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,7,12,3,11,80,217,43,..,124,217
LGA32750,77,150,3,5,0,0,3,5,3,8,0,0,0,0,0,0,0,0,3,8,5,9,0,0,0,0,0,0,5,9,0,5,82,172,59,..,146,172
LGA32770,254,1236,5,6,4,8,3,12,22,62,0,0,0,0,0,0,0,0,22,62,0,0,0,0,0,0,0,0,0,0,3,5,285,1323,56,..,340,1323
LGA32810,3330,8217,282,524,263,540,552,1060,481,877,10,12,4,0,0,0,0,0,493,891,58,114,17,27,21,29,23,45,118,214,66,125,4560,10510,1005,..,5568,10510
LGA33100,177,424,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,10,44,68,4,12,4,0,0,5,50,95,26,71,260,591,22,..,281,591
LGA33200,420,947,81,193,0,0,81,193,3,3,0,0,0,0,0,0,0,0,3,3,3,12,0,0,0,0,0,0,3,12,36,94,545,1249,199,..,742,1249
LGA33220,38157,92348,2273,3455,1348,2245,3620,5699,693,1044,147,232,296,513,3,13,28,62,1175,1869,435,688,230,344,43,115,42,78,753,1226,222,430,43927,101574,4976,..,48896,101574
LGA33360,19810,52263,649,1248,746,1313,1397,2563,1134,1826,198,283,214,341,89,132,4,12,1639,2592,215,352,50,94,9,20,7,21,273,490,66,118,23181,58027,4081,..,27264,58027
LGA33430,129925,383064,16241,32172,30944,71010,47182,103179,8813,15652,14563,25872,10017,18337,16038,29157,281,644,49719,89662,797,1131,421,646,15,34,127,273,1358,2080,725,1354,228913,579337,26794,..,255704,579337
LGA33610,3389,8485,204,319,29,56,233,373,66,114,0,0,0,0,0,0,0,0,66,114,31,58,3,8,0,0,3,10,32,75,31,53,3757,9107,576,..,4335,9107
LGA33620,18660,46054,633,996,302,471,931,1470,372,539,15,11,0,0,0,0,8,12,393,566,141,222,83,125,102,210,23,49,349,604,122,199,20461,48892,2498,..,22956,48892
LGA33800,4009,9164,152,199,47,58,200,260,125,174,8,13,0,0,0,0,0,0,134,192,28,47,3,12,12,38,10,18,53,112,31,73,4426,9801,936,..,5363,9801
LGA33830,264,846,6,13,0,0,6,13,7,14,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,3,3,0,0,281,888,39,..,325,888
LGA33960,69218,198016,4128,7268,3023,6616,7145,13883,1017,1506,133,199,92,129,45,61,61,118,1346,2010,135,200,63,93,0,10,39,86,240,392,109,204,78058,214501,5334,..,83392,214501
LGA33980,5429,14762,277,484,384,713,664,1190,84,120,11,20,0,0,0,0,0,0,100,140,57,112,4,8,3,5,8,15,69,139,41,76,6298,16307,3001,..,9302,16307
LGA34420,190,758,42,143,9,30,51,179,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,14,247,954,15,..,267,954
LGA34530,12186,31855,487,722,136,237,625,958,563,890,87,151,104,184,8,14,8,8,760,1249,98,157,34,52,18,36,10,19,155,263,47,108,13783,34433,2204,..,15985,34433
LGA34570,146,512,0,3,4,25,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,155,553,36,..,189,553
LGA34580,13278,35912,435,833,117,324,550,1155,132,295,0,0,0,0,0,0,7,24,142,321,28,48,13,48,7,24,42,107,94,229,74,112,14142,37725,1199,..,15340,37725
LGA34590,95721,287523,5045,9681,8252,17930,13294,27609,2248,4010,391,574,132,244,76,127,227,491,3075,5442,128,178,227,283,23,53,13,17,381,536,177,350,112653,321463,6288,..,118942,321463
LGA34710,1184,2771,48,62,15,29,62,93,34,42,0,0,0,0,0,0,0,0,34,42,25,58,3,14,0,0,5,7,38,76,29,56,1342,3048,308,..,1648,3048
LGA34770,36410,96855,3025,5186,1298,2265,4320,7448,1192,1969,38,62,116,219,188,346,13,30,1552,2626,210,409,239,334,26,46,17,46,494,833,196,342,42964,108109,5173,..,48143,108109
LGA34800,190,448,4,6,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,50,148,238,603,85,..,327,603
LGA34830,90,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,6,6,3,94,371,11,..,107,371
