SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED30031,1060,669,805,841,710,747,412,239,98,5581,8776,4706,5656,5504,5078,4927,2984,1443,419,39493
SED30032,1031,605,550,583,767,782,642,345,124,5429,8853,5274,4948,5528,7034,8809,8413,4204,1196,54259
SED30033,801,483,402,464,563,591,684,567,243,4798,8129,4907,4605,5077,6214,7917,9635,6169,1988,54641
SED30034,1336,948,1241,1072,1091,979,833,455,202,8157,9741,5486,6101,6157,7343,8805,7931,4109,1439,57112
SED30035,1023,542,670,690,714,534,389,201,60,4823,11049,5615,7009,6731,6276,6395,5035,2382,760,51252
SED30036,1332,1159,1997,1671,1019,662,315,188,92,8435,13470,9224,10659,9380,8257,6770,4430,2459,942,65591
SED30037,982,554,594,586,491,414,248,194,181,4244,10364,6392,7460,6708,6209,5744,4111,2442,1081,50511
SED30038,1041,942,997,792,626,460,301,214,87,5460,11107,7301,7375,6889,6905,6313,4663,2540,745,53838
SED30039,1265,663,674,728,615,369,207,77,14,4612,17778,9179,10291,11816,9282,5853,3407,1268,240,69114
SED30040,790,523,523,512,532,500,369,291,182,4222,9112,5938,5731,6452,6937,6429,5837,4226,1793,52455
SED30041,972,638,713,739,781,776,425,255,131,5430,10329,6036,6268,6665,6759,7448,5863,3136,981,53485
SED30042,984,617,576,562,550,397,254,121,32,4093,12675,7898,7788,7874,7827,6116,4496,2124,594,57392
SED30043,979,756,690,673,704,557,404,242,84,5089,10363,6482,6420,6403,6953,7048,5553,2828,779,52829
SED30044,1607,841,926,778,724,584,324,206,64,6054,15012,8678,9986,8445,7876,7126,5289,2613,695,65720
SED30045,687,401,388,453,523,386,288,219,172,3517,10300,5929,6141,7734,8123,6736,5073,2987,1312,54335
SED30046,1449,878,942,822,706,508,328,196,58,5887,12713,7763,9061,7942,7418,6436,5434,2912,884,60563
SED30047,1148,806,946,946,883,808,460,312,159,6468,10361,6718,7340,7235,7327,7158,5232,3086,1358,55815
SED30048,398,723,656,429,369,296,233,161,103,3368,9130,14257,10763,8545,7113,5127,4244,2432,833,62444
SED30049,546,510,455,458,411,340,197,169,124,3210,11361,8149,8089,9042,7680,5567,3944,2650,1136,57618
SED30050,618,531,638,609,702,663,563,358,270,4952,6566,5169,6690,6035,6588,7595,6843,3764,1454,50704
SED30051,836,619,676,679,676,681,638,335,128,5268,8250,5092,4607,5220,6531,8548,9110,4364,1203,52925
SED30052,347,898,1917,1041,640,542,360,202,106,6053,4839,11425,21496,11293,7141,5695,3793,1858,700,68240
SED30053,639,544,811,564,527,463,334,207,75,4164,8488,6906,8652,7590,7099,5824,5117,2921,1147,53744
SED30054,458,383,418,388,392,364,199,103,81,2786,9103,6893,7395,7730,7092,5416,3660,2043,964,50296
SED30055,1150,841,1113,1159,1130,967,623,283,54,7320,9898,5569,5940,6537,6861,7290,5250,2279,559,50183
SED30056,470,295,164,301,385,303,206,165,139,2428,10509,6315,3677,6949,8110,6146,4817,2940,1182,50645
SED30057,1357,879,846,721,627,466,371,256,192,5715,12244,7851,8341,7101,7070,6522,5586,3183,1174,59072
SED30058,539,310,307,399,385,335,260,142,93,2770,9992,6046,6329,7742,7063,5982,4939,2629,1103,51825
SED30059,946,610,481,679,647,521,380,270,254,4788,11637,7087,6236,8338,8581,7030,5524,3137,1140,58710
SED30060,1514,827,880,856,813,596,427,222,135,6270,12625,7113,7503,7498,7439,6245,4738,2164,593,55918
SED30061,782,1590,1331,952,744,520,305,217,141,6582,8621,9558,7319,6296,6339,5610,4016,2477,973,51209
SED30062,1123,640,803,746,557,358,296,171,202,4896,15829,8534,11197,10568,8059,6027,4773,2667,1094,68748
SED30063,1115,626,533,586,775,819,741,456,114,5765,8897,5205,4888,5192,6654,8064,8185,4255,1151,52491
SED30064,832,452,460,562,590,537,385,216,174,4208,8882,5269,5271,5994,6788,6866,6014,3382,1281,49747
SED30065,856,485,425,676,639,515,403,228,92,4319,11204,5468,5415,7775,7954,7315,6756,3471,1085,56443
SED30066,637,371,382,481,668,629,506,334,193,4201,7203,4309,3600,5200,7169,8011,7822,4369,1386,49069
SED30067,618,476,713,597,491,363,229,127,119,3733,9658,6647,10376,9184,7234,5714,4118,2174,1070,56175
SED30068,401,367,235,244,403,382,309,211,88,2640,7150,5338,3280,4928,6563,6640,5902,3643,1413,44857
SED30069,835,448,445,503,549,346,279,152,53,3610,11537,6818,6486,7867,8236,6707,5051,2332,566,55600
SED30070,745,452,377,413,530,502,543,355,112,4029,7701,4599,4509,4940,5897,7583,9739,5807,1472,52247
SED30071,667,464,424,520,646,576,466,287,110,4160,7750,5147,4539,6147,7795,7983,7754,4349,1628,53092
SED30072,759,460,343,429,520,520,397,211,102,3741,9357,6067,5348,6167,7175,7629,6961,3957,1361,54022
SED30073,1149,788,767,786,702,558,357,203,126,5436,11084,7227,7570,6764,6220,6083,4677,2907,1389,53921
SED30074,636,334,409,468,482,349,274,222,192,3366,10450,5812,6717,8099,7537,6360,5129,3114,1281,54499
SED30075,1015,612,563,701,813,666,530,299,155,5354,10063,5752,5116,6534,7954,7906,6786,3440,1069,54620
SED30076,528,1128,1545,902,664,474,354,202,102,5899,6382,12317,17458,9782,7464,5525,3692,1862,737,65219
SED30077,1010,544,558,563,673,724,648,394,143,5257,8905,5052,5035,5046,6193,7303,6974,3986,1323,49817
SED30078,702,771,795,670,682,590,462,421,321,5414,8241,7917,8398,7168,7337,6444,5773,4007,1729,57014
SED30079,631,400,358,473,442,328,278,116,46,3072,10940,6176,6501,8268,7249,5932,5071,2292,638,53067
SED30080,625,528,690,560,466,333,241,174,224,3841,9799,7541,10097,8698,7508,5490,3792,2502,1392,56819
SED30081,749,446,506,586,407,332,276,164,97,3563,12128,7502,8950,9465,6909,6402,5104,2454,906,59820
SED30082,596,751,1340,883,926,1000,829,481,154,6960,5888,6066,9192,6906,7377,7811,7181,4233,1268,55922
SED30083,1013,603,556,677,667,405,231,100,36,4288,13219,7745,7459,9050,8543,6119,4332,2225,707,59399
SED30084,1254,794,774,733,715,488,285,141,44,5228,10995,7385,6901,6568,6749,5774,4518,2418,698,52006
SED30085,516,549,744,515,396,276,225,128,67,3416,9333,7864,11035,8758,6581,5575,4548,2701,1084,57479
SED30086,789,581,536,535,556,491,395,288,129,4300,10369,7191,6718,6279,6649,6530,5894,3757,1338,54725
SED30087,792,591,575,467,409,410,335,264,178,4021,10892,7590,8256,6983,6259,5773,5610,4028,2024,57415
SED30088,856,726,874,779,731,643,412,212,71,5304,8341,6469,7673,6545,6782,6742,4891,2202,729,50374
SED30089,1152,840,980,873,856,742,450,253,74,6220,9339,5715,6519,5562,5344,5075,3373,1732,466,43125
SED30090,1049,706,711,608,715,688,431,233,135,5276,8927,5018,5326,5004,5622,5795,4262,2197,802,42953
SED30091,1585,950,1024,863,687,488,400,269,202,6468,13299,8067,9532,8248,6921,5823,5034,3008,1103,61035
SED30092,1122,815,1125,1017,1115,963,491,239,74,6961,10672,6353,7587,7552,7622,7259,4785,2001,474,54305
SED30093,2310,1269,1279,1179,898,593,377,207,120,8232,17913,10736,10476,9613,8251,6812,4699,2109,568,71177
SED39494,255,435,800,739,648,553,354,67,9,3860,1437,1495,2649,2077,1929,2468,2124,444,44,14667
SED39797,0,14,37,47,34,8,0,0,0,140,0,16,49,64,45,5,3,0,0,182
SED40001,237,655,749,498,420,359,319,164,122,3523,4581,8393,8903,5716,4758,4768,4239,2232,1032,44622
SED40002,284,292,332,297,224,237,150,126,86,2028,5918,5197,7904,5806,4556,4289,3429,2088,1350,40537
SED40003,358,205,201,265,269,270,190,87,32,1877,6261,3903,3839,4922,4796,5091,4256,1801,641,35510
SED40004,246,173,136,181,220,168,174,153,78,1529,6534,4700,3173,4644,5201,4634,4573,3072,1336,37867
SED40005,521,373,372,403,441,468,488,248,110,3424,5846,3679,3910,3793,4690,5466,5433,2796,1136,36749
SED40006,394,321,395,321,328,331,173,125,62,2450,6240,4746,6690,5438,4962,4853,3334,1835,979,39077
SED40007,291,235,234,241,340,312,207,139,82,2081,5805,4157,3847,4480,5257,5164,4218,2874,1335,37137
SED40008,486,402,492,451,408,316,222,133,49,2959,6765,5574,8171,6182,5235,4663,3372,1877,1026,42865
SED40009,340,252,219,250,265,243,166,93,44,1872,6152,4625,4349,4808,4704,4824,4179,2067,757,36465
SED40010,255,272,317,262,301,294,192,139,66,2098,5493,4740,5833,4990,4746,4854,4076,2524,1144,38400
SED40011,333,261,318,276,327,243,163,129,81,2131,6573,4754,5899,5553,4920,4441,3590,2261,1224,39215
SED40012,916,482,556,470,394,324,196,139,121,3598,8905,5256,5899,5199,4799,4688,3017,1756,827,40346
SED40013,434,386,718,589,435,257,151,117,57,3144,8058,5343,8356,7172,5085,4135,3108,1764,938,43959
SED40014,304,177,147,189,234,355,405,251,119,2181,4199,2407,2207,2807,3530,5254,7367,4642,1597,34010
SED40015,685,357,408,448,535,510,418,241,122,3724,6757,3396,4023,4063,4621,5215,4507,2333,932,35847
SED40016,479,334,319,336,308,207,187,98,52,2320,6910,4940,6009,5470,4629,4174,3635,2150,742,38659
SED40017,562,360,325,331,406,408,294,205,74,2965,6901,4070,4092,4178,5005,5855,4656,2420,840,38017
SED40018,284,238,247,218,267,298,262,156,102,2072,5528,4471,4887,4715,4560,4654,4764,2944,1739,38262
SED40019,762,458,615,450,520,513,300,197,82,3897,6749,4151,5208,4319,4830,4856,3445,2084,635,36277
SED40020,579,380,481,448,478,424,350,225,82,3447,6183,4030,4029,3868,4781,5264,4885,2948,1001,36989
SED40021,321,261,256,269,285,236,165,225,224,2242,6207,4632,5757,5432,4790,4256,3721,3149,1823,39767
SED40022,405,255,203,292,330,364,319,119,43,2330,6321,3924,2785,4231,5377,5328,4607,2021,670,35264
SED40023,507,254,283,290,275,266,222,141,75,2313,6036,4119,4250,4303,4532,4426,4145,2254,864,34929
SED40024,580,392,369,386,367,312,225,161,71,2863,7503,4579,5571,5319,5035,4700,4028,2255,927,39917
SED40025,513,304,303,300,311,257,215,136,55,2394,7494,4558,4927,4893,5068,4514,3968,2105,724,38251
SED40026,373,295,199,202,295,311,157,80,44,1956,6569,4748,4077,4477,5171,5222,3619,1967,671,36521
SED40027,372,247,283,262,277,253,217,128,58,2097,4802,3341,4520,4029,4081,4391,4272,2667,1371,33474
SED40028,523,324,314,291,275,291,187,114,65,2384,6979,4538,4957,4305,4414,4479,3368,2150,898,36088
SED40029,589,393,392,407,529,530,444,300,110,3694,6550,3850,4109,4361,4965,5820,5211,2896,1017,38779
SED40030,497,288,272,318,360,442,338,189,74,2778,6464,3689,3390,4254,4957,5588,5292,2729,851,37214
SED40031,302,238,216,202,268,225,170,117,45,1783,6328,4484,4329,4838,5036,4667,3943,2642,850,37117
SED40032,230,216,247,233,238,242,201,161,72,1840,4736,3792,4929,4513,4047,4529,4340,2577,1418,34881
SED40033,575,401,457,541,519,458,377,260,167,3755,6358,4063,4179,4168,4608,4758,4145,2313,936,35528
SED40034,467,231,243,272,326,499,491,313,140,2982,4682,2469,2612,2841,3648,5613,6160,3410,1099,32534
SED40035,363,233,249,261,267,214,220,207,216,2230,5927,3849,4689,4755,4405,3954,4211,3156,1438,36384
SED40036,606,353,368,397,312,255,176,93,52,2612,8553,5567,6392,6082,4910,4599,3113,1477,433,41126
SED40037,383,305,289,318,358,388,237,109,42,2429,5376,3809,4625,4631,4957,5744,4246,1913,852,36153
SED40038,791,451,526,500,435,338,204,132,79,3456,8988,5533,6211,5992,5042,4864,3568,1948,899,43045
SED40039,488,321,342,345,297,285,219,135,58,2490,5940,4033,4979,4648,4345,4189,4254,2311,810,35509
SED40040,426,303,220,279,423,386,296,144,83,2560,6471,4094,3343,4320,5444,5755,4802,2369,850,37448
SED40041,698,477,632,565,502,460,318,226,90,3968,5967,3777,4088,3697,4353,5179,4361,2603,926,34951
SED40042,933,544,620,463,428,351,300,159,83,3881,9962,5645,7049,5391,4554,4213,2961,1593,574,41942
SED40043,471,330,371,395,318,228,179,132,69,2493,7612,4842,7121,6785,5062,4337,3664,2358,952,42733
SED40044,238,200,184,221,251,222,218,162,135,1831,5961,4385,4192,4793,5031,4605,4480,2747,1705,37899
SED40045,287,192,142,188,247,243,194,146,89,1728,6661,4347,3268,4734,5356,4751,4289,2651,949,37006
SED40046,322,271,331,323,287,250,139,99,52,2074,5367,4503,6721,5295,4688,4274,2987,1988,1048,36871
SED40047,383,244,234,270,284,261,186,107,32,2001,6531,4244,4365,4916,4607,4738,4177,1885,556,36019
SED49494,84,79,166,178,144,138,77,11,0,877,409,394,627,534,478,513,359,64,11,3389
SED49797,0,0,0,0,5,0,0,0,0,5,0,0,0,3,5,0,0,0,0,8
SED50106,560,384,504,470,479,483,396,219,114,3609,6798,4134,4150,4231,4976,5440,4990,2890,1164,38773
SED50202,1201,691,820,700,612,466,274,165,80,5009,11127,6266,7846,7185,5896,5439,4225,2173,736,50893
SED50304,451,356,695,520,438,382,235,166,85,3328,6931,4441,8928,7486,5369,4706,3832,2460,1145,45298
SED50405,1095,547,795,772,587,386,182,134,46,4544,14804,7006,9710,9255,6820,4738,3092,1589,328,57342
SED50502,703,436,533,485,470,410,267,142,60,3506,8105,5011,6080,6193,5627,5430,4042,1982,748,43218
SED50605,330,278,249,311,359,300,277,135,59,2298,7589,5573,4549,5775,5856,5717,5205,2766,1166,44196
SED50702,632,507,877,722,565,472,294,187,135,4391,7777,5467,9515,7593,5853,5290,3881,2069,961,48406
SED50805,423,283,316,330,402,339,243,196,150,2682,6967,4584,4181,5057,5708,4988,3970,2385,1385,39225
SED50906,703,524,700,639,620,487,345,194,112,4324,8165,5114,5480,5673,5984,5637,4671,2502,1024,44250
SED51004,630,482,427,482,538,423,189,89,35,3295,8998,6468,5647,6015,7314,5981,3227,1489,447,45586
SED51104,1074,616,733,737,709,406,206,151,70,4702,13438,7177,8561,8228,7549,5095,3526,2133,769,56476
SED51205,724,540,818,633,459,348,233,158,97,4010,9714,6651,10309,8351,5744,5042,4161,2159,791,52922
SED51304,433,239,217,305,401,278,294,148,52,2367,8536,4574,3186,5672,6014,5158,5630,2866,853,42489
SED51401,863,522,652,666,759,778,591,380,143,5354,6401,3357,3784,4114,4958,5907,5284,2719,929,37453
SED51504,385,263,311,304,304,275,215,131,78,2266,8658,5356,5032,6385,6408,4926,3777,2471,1345,44358
SED51605,632,450,461,532,510,337,204,115,52,3293,10084,6140,6997,7819,7014,5013,3183,1471,447,48168
SED51706,777,432,443,477,548,559,451,263,132,4082,8724,4582,4907,5520,5783,6185,5282,2651,823,44457
SED51804,391,401,395,344,407,390,345,266,207,3146,7251,5807,4564,4805,6153,5715,4944,3392,1506,44137
SED51902,771,395,540,636,596,451,247,128,44,3808,10820,5576,6374,6734,6435,5619,3950,1795,464,47767
SED52006,529,350,324,413,504,432,415,298,153,3418,6957,4252,3737,4435,5328,6082,6845,4001,1125,42762
SED52102,657,411,492,496,434,384,223,112,57,3266,8587,4933,5774,6361,5415,4961,3758,1912,667,42368
SED52205,496,443,676,559,600,473,333,219,189,3988,6389,4527,6608,6249,6049,5787,4598,2483,1186,43876
SED52301,1036,617,670,689,678,558,391,224,111,4974,7744,4527,4630,4792,5294,5085,3919,2122,832,38945
SED52404,452,279,340,407,361,318,214,90,51,2512,8038,4737,4895,5923,5665,5461,4659,1927,564,41869
SED52505,549,476,892,853,505,362,194,63,19,3913,13274,6499,8994,10577,6669,5528,3943,1363,354,57201
SED52604,374,358,352,335,429,448,243,138,71,2748,6882,5524,4646,5130,5995,6213,4287,1790,666,41133
SED52702,386,268,222,321,416,375,264,210,109,2571,7030,4467,2944,4464,5848,5613,5076,3019,1017,39478
SED52803,1087,811,1180,1031,921,754,344,125,34,6287,7684,4495,6151,5538,5079,4521,2347,852,230,36897
SED52903,1685,800,1118,949,936,681,353,121,43,6686,8271,4463,6111,5310,4679,3798,1971,612,139,35354
SED53004,402,276,243,332,369,282,226,133,98,2361,7792,4585,4081,5778,5483,5312,5276,2415,994,41716
SED53105,862,643,1076,955,630,353,218,93,31,4861,11529,5871,8063,8675,6149,4462,3026,1430,516,49721
SED53204,580,372,392,404,390,269,165,84,36,2692,10984,6414,6445,7886,6825,5001,3118,1439,478,48590
SED53306,829,528,534,569,582,511,375,349,255,4532,8557,5106,5351,5392,5464,5601,5432,3731,1567,46201
SED53402,414,330,533,499,425,312,218,123,87,2941,6908,4438,7785,7319,5748,4792,3671,1873,910,43444
SED53502,651,502,597,516,558,472,318,211,175,4000,8409,5555,6790,6372,6092,5743,4384,2510,1049,46904
SED53602,970,573,653,673,531,408,297,148,44,4297,9449,6357,7441,6653,5775,5322,4201,2171,751,48120
SED53701,811,466,513,603,745,875,706,375,91,5185,6368,3247,3488,4230,5274,6510,5759,2743,694,38313
SED53802,537,375,510,507,390,344,242,174,76,3155,7581,5124,7398,6678,5425,5075,4414,2739,994,45428
SED53902,390,296,449,406,366,311,235,228,157,2838,6168,4678,6818,6188,5372,4820,3918,2760,1649,42371
SED54006,714,509,411,493,590,567,462,265,137,4148,8170,4641,4325,5194,5740,6091,5539,2876,825,43401
SED54104,362,427,487,397,333,322,330,196,98,2952,7246,6912,6806,6082,5637,5152,4801,2891,1157,46684
SED54203,808,539,858,759,669,536,294,133,26,4622,4387,2320,3910,3557,3189,2907,1772,691,139,22872
SED54304,387,656,1487,856,663,492,319,158,63,5081,6142,6122,14219,9480,6403,5383,3574,1590,733,53646
SED54403,1701,1056,2133,1967,1437,1037,259,44,12,9646,11039,5006,9467,9168,6631,4492,1275,288,55,47421
SED54505,336,300,172,281,329,278,220,177,106,2199,9193,6057,3536,6529,6544,5195,4999,2773,1084,45910
SED54605,578,600,605,491,494,496,347,311,250,4172,6276,4531,4728,4608,5126,5975,5101,3201,1311,40857
SED54701,1016,520,503,582,620,623,482,296,76,4718,7292,3751,4262,4553,4935,5437,4267,2382,778,37657
SED54804,443,351,778,576,401,315,277,203,180,3524,7474,4555,8535,7490,5697,4692,3673,2370,1256,45742
SED54905,370,377,507,353,369,370,321,233,226,3126,6172,5893,6624,5690,5250,5140,4763,2494,1228,43254
SED55005,698,415,442,486,452,337,201,115,70,3216,11638,6858,6493,8477,6941,5002,3601,1587,598,51195
SED55102,848,679,1094,1161,925,574,288,112,19,5700,11171,6201,6695,7562,7062,5541,3624,1517,321,49694
SED55202,850,473,537,599,527,407,299,223,184,4099,9640,5888,6624,7068,5940,5199,4513,2600,1027,48499
SED55306,771,353,435,575,561,485,421,264,83,3948,8493,3926,4130,5820,6063,5844,5866,3104,1085,44331
SED55405,478,598,933,621,474,366,215,224,274,4183,6839,7078,10916,7605,5281,4409,3299,1973,1221,48621
SED55504,715,416,459,497,490,385,239,117,44,3362,11105,6176,6743,7490,6526,5058,3736,1979,643,49456
SED55605,946,544,523,618,636,401,189,104,56,4017,11427,6834,6161,6774,7253,5613,3115,1572,478,49227
SED55706,860,412,435,603,781,697,590,273,96,4747,7573,3656,3828,5249,6052,6861,6345,2963,924,43451
SED55802,789,484,725,592,481,369,199,82,45,3766,11826,6723,9109,8117,6368,5439,3170,1629,591,52972
SED55905,497,410,458,444,392,347,250,185,153,3136,6419,5026,5670,5229,5098,5089,4092,2638,1222,40483
SED59494,190,352,661,811,748,503,245,69,15,3594,772,820,1512,1543,1313,1144,758,155,30,8047
SED59797,0,22,46,76,51,27,3,0,0,225,0,42,116,170,109,62,18,0,0,517
SED60105,259,213,228,195,182,197,165,118,78,1635,3977,2861,3665,2907,2973,2726,2568,1792,917,24386
SED60106,137,74,69,78,69,101,102,48,31,709,1234,686,756,761,915,1314,1209,636,238,7749
SED60113,465,297,263,282,326,336,313,212,117,2611,6236,4121,4418,4362,4937,5382,4778,2563,815,37612
SED60115,727,600,560,424,417,392,287,178,71,3656,6991,5097,6124,4675,4831,5039,4288,2378,799,40222
SED60207,576,323,340,308,364,376,381,267,118,3053,6356,4017,4706,4054,4826,5219,5231,3042,1057,38508
SED60208,475,303,253,290,374,339,316,198,65,2613,5310,3557,3614,3437,4192,4952,4215,2427,801,32505
SED60209,674,371,386,402,443,461,400,226,102,3465,6793,3989,4404,4270,4941,5667,4889,2667,925,38545
SED60301,254,155,165,144,156,141,88,90,47,1240,2929,1868,2613,2066,1923,1986,1469,1085,410,16349
SED60302,497,321,485,310,314,279,217,148,81,2652,5817,4077,7714,4921,4035,4195,3493,2081,947,37280
SED60303,318,337,494,332,336,287,204,137,76,2521,4900,4672,7263,4835,4636,4242,3553,1759,725,36585
SED60304,8,0,0,0,3,4,3,0,0,18,59,30,42,43,63,52,39,16,0,344
SED60310,159,154,201,132,156,159,156,66,24,1207,3006,2800,3414,2410,2546,2498,2528,1367,604,21173
SED60404,523,265,284,306,353,412,333,191,92,2759,6624,3522,3563,4510,4865,5450,4833,2239,612,36218
SED60410,140,104,106,114,110,83,87,63,26,833,2637,1775,2616,2126,1802,1653,1718,1131,400,15858
SED60411,300,232,235,214,239,243,223,172,106,1964,4945,3133,4490,3951,3730,3985,3972,2727,1331,32264
SED60414,469,341,433,437,283,244,176,112,21,2516,5345,3083,3980,3715,3407,3551,2809,1294,311,27495
SED60501,551,339,298,295,283,255,194,89,32,2336,4551,2774,2718,2682,2751,2938,2417,1058,265,22154
SED60505,119,74,54,79,105,82,72,52,19,656,1747,1094,1141,1153,1437,1490,1245,773,261,10341
SED60506,390,264,232,272,314,436,374,208,53,2543,4873,2870,3191,3154,3842,4999,4739,2423,682,30773
SED60508,77,56,57,59,83,86,74,31,5,528,769,485,505,544,760,981,750,324,89,5207
SED60512,541,356,369,359,376,477,407,183,59,3127,5598,3369,4181,3847,4346,5522,4875,2233,622,34593
SED60514,125,61,71,77,94,76,70,43,17,634,1799,979,1305,1329,1246,1352,1212,603,172,9997
SED69494,18,41,49,54,42,68,75,6,0,353,129,215,228,198,203,199,163,31,3,1369
SED69797,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,15
SED70001,198,90,153,104,115,78,38,6,0,782,2052,1521,1645,1280,1105,707,261,55,9,8635
SED70002,175,106,178,148,105,93,46,16,7,874,2123,1076,1989,1646,1281,1055,552,198,48,9968
SED70003,207,189,241,168,124,83,36,13,0,1061,2214,1675,1858,1425,1023,671,288,59,8,9221
SED70004,273,182,248,178,154,141,74,19,0,1269,1990,1320,1480,1107,997,879,494,151,21,8439
SED70005,291,137,223,169,124,93,58,20,6,1121,2175,1157,1625,1321,1121,716,411,137,32,8695
SED70006,116,83,173,104,86,99,60,14,0,735,1783,898,1776,1327,1047,1085,637,185,41,8779
SED70007,192,97,168,127,123,53,29,9,8,806,2246,1147,1548,1470,1176,734,378,141,65,8905
SED70008,214,99,163,159,102,76,75,30,12,930,2002,1141,1751,1505,1161,874,717,371,138,9660
SED70009,353,213,212,209,259,222,170,52,6,1696,2034,1266,1346,1231,1287,1283,955,270,30,9702
SED70010,357,193,232,219,169,126,61,19,6,1382,2021,1094,1389,1272,1138,915,557,167,44,8597
SED70011,91,61,142,107,100,100,73,46,40,760,1334,787,1628,1220,1027,924,710,343,111,8084
SED70012,105,88,190,120,100,103,47,21,10,784,1260,951,1878,1325,1102,891,456,173,36,8072
SED70013,233,145,157,192,208,210,157,33,3,1338,1824,1028,1084,1293,1545,1426,936,275,42,9453
SED70014,179,134,197,99,122,111,44,0,0,886,1943,1442,1545,1089,879,697,299,75,23,7992
SED70015,165,122,132,151,142,75,49,31,7,874,1726,967,1476,1408,1135,886,693,338,56,8685
SED70016,227,120,122,132,121,117,47,15,3,904,1906,1145,1156,1198,1086,1052,654,220,45,8462
SED70017,357,188,259,208,175,176,97,40,11,1511,1917,1055,1548,1181,1096,996,573,220,43,8629
SED70018,283,136,242,199,116,110,45,6,0,1137,2409,1607,1589,1548,1141,782,310,80,15,9481
SED70019,235,210,333,347,255,168,69,32,13,1662,2145,1301,1731,1591,1399,1160,634,257,91,10309
SED70020,131,298,506,428,338,147,71,29,10,1958,1618,1484,1571,1481,1593,1211,698,269,50,9975
SED70021,96,55,161,111,91,96,47,17,9,683,1499,801,2053,1438,1051,907,691,252,55,8747
SED70022,95,244,457,213,172,134,69,22,4,1410,1146,1357,3449,1926,1261,1101,629,188,35,11092
SED70023,221,110,110,140,134,83,59,29,7,893,1784,924,1068,1221,1214,953,708,295,54,8221
SED70024,237,128,200,171,104,63,26,14,0,943,3051,1451,2396,2106,1219,728,341,110,21,11423
SED70025,210,107,152,164,121,97,53,20,9,933,2260,1099,1642,1615,1276,998,612,267,53,9822
SED79494,74,97,193,168,213,186,79,12,0,1022,446,276,661,573,591,579,318,49,7,3500
SED79797,0,0,6,4,5,3,0,0,0,18,0,15,23,22,19,17,0,0,0,96
SED80001,945,588,618,561,554,487,393,238,113,4497,15956,9758,11390,11267,10882,11043,8015,3441,1202,82954
SED80002,1094,808,975,739,637,466,352,189,70,5330,17180,12641,16932,14313,11271,8826,7836,4511,1511,95021
SED80003,643,1863,1566,1009,753,662,436,218,128,7278,10816,16576,18602,12288,10194,8607,6288,3397,1696,88464
SED80004,880,610,727,612,624,508,448,320,190,4919,16632,9578,12923,13270,11359,9139,7958,5631,2236,88726
SED80005,1226,710,948,870,608,344,277,114,23,5120,22313,11906,17784,18143,12426,7717,5541,2358,535,98723
SED89494,7,21,17,35,22,22,11,0,0,135,50,148,108,104,77,78,34,10,4,613
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99191,128,92,218,157,139,113,84,53,6,990,825,407,577,638,665,765,587,257,62,4783
SED99494,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,3,0,0,0,7
SED99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
